"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"Kasumi-1",518,"KASUMI1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","Kasumi-1","Myeloid","Childhood acute myeloid leukemia with maturation","CVCL_0589","KASUMI1_733_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Kasumi-2",519,"KASUMI2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","Kasumi-2","Lymphoid","B acute lymphoblastic leukemia with t(1","CVCL_0590","KASUMI2_734_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KATO III",522,"KATOIII","ccle;public","stomach","carcinoma","adenocarcinoma","KATO III","Esophagus/Stomach","Down syndrome","CVCL_0371","KATOIII_737_2019","stomach","Cancer cell line",TRUE
"KCL-22",524,"KCL22","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","KCL-22","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_2091","KCL22_739_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KE-37",525,"KE37","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","KE-37","Lymphoid","Adult T acute lymphoblastic leukemia","CVCL_1327","KE37_740_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KE-39",526,"KE39","ccle;public","stomach","carcinoma","","KE-39","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_3385","KE39_741_2019","stomach","Cancer cell line",TRUE
"KE-97",527,"KE97","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KE-97","Lymphoid",NA,"CVCL_3386","KE97_742_2019","haematopoietic_and_lymphoid_tissue","Transformed cell line",NA
"Kelly",528,"KELLY","ccle;public","autonomic_ganglia","neuroblastoma","","Kelly","Peripheral Nervous System","Neuroblastoma","CVCL_2092","KELLY_743_2019","autonomic_ganglia","Cancer cell line",NA
"KG-1-C",530,"KG1C","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","KG-1-C","CNS/Brain","Oligodendroglioma","CVCL_2971","KG1C_745_2019","central_nervous_system","Cancer cell line",NA
"KHM-1B",531,"KHM1B","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KHM-1B","Lymphoid","Plasma cell myeloma","CVCL_2972","KHM1B_747_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Ki-JK",532,"KIJK","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","anaplastic_large_cell_lymphoma","Ki-JK","Lymphoid","Anaplastic large cell lymphoma","CVCL_2093","KiJK_748_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KLE",534,"KLE","ccle;public","endometrium","carcinoma","adenocarcinoma","KLE","Uterus","Endometrial adenocarcinoma","CVCL_1329","KLE_750_2019","endometrium","Cancer cell line",NA
"KM-H2",538,"KMH2","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","KM-H2","Lymphoid","Hodgkin lymphoma","CVCL_1330","KMH2_752_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KM12",536,"KM12","ccle;public","large_intestine","carcinoma","adenocarcinoma","KM12","Bowel","Colon carcinoma","CVCL_1331","KM12_753_2019","large_intestine","Cancer cell line",NA
"KMBC-2",537,"KMBC2","ccle;public","urinary_tract","carcinoma","","KMBC-2","Bladder/Urinary Tract","Bladder carcinoma","CVCL_2977","KMBC2_754_2019","urinary_tract","Cancer cell line",NA
"KMM-1",539,"KMM1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMM-1","Lymphoid","Plasma cell myeloma","CVCL_2981","KMM1_756_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMRC-1",540,"KMRC1","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","KMRC-1","Kidney","Clear cell renal cell carcinoma","CVCL_2983","KMRC1_758_2019","kidney","Cancer cell line",NA
"KMRC-2",541,"KMRC2","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","KMRC-2","Kidney","Clear cell renal cell carcinoma","CVCL_2984","KMRC2_759_2019","kidney","Cancer cell line",NA
"KMRC-20",542,"KMRC20","ccle;public","kidney","carcinoma","renal_cell_carcinoma","KMRC-20","Kidney","Clear cell renal cell carcinoma","CVCL_2986","KMRC20_760_2019","kidney","Cancer cell line",NA
"KMRC-3",543,"KMRC3","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","KMRC-3","Kidney","Clear cell renal cell carcinoma","CVCL_2985","KMRC3_761_2019","kidney","Cancer cell line",NA
"KMS-11",545,"KMS11","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-11","Lymphoid","Plasma cell myeloma","CVCL_2989","KMS11_762_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-12-BM",546,"KMS12BM","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-12-BM","Lymphoid","Plasma cell myeloma","CVCL_1334","KMS12BM_763_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-18",548,"KMS18","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-18","Lymphoid","Plasma cell myeloma","CVCL_A637","KMS18_765_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-20",549,"KMS20","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-20","Lymphoid","Plasma cell myeloma","CVCL_2990","KMS20_766_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-21-BM",550,"KMS21BM","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-21-BM","Other",NA,"CVCL_2991","KMS21BM_767_2019","haematopoietic_and_lymphoid_tissue","Undefined cell line type",NA
"KMS-26",551,"KMS26","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-26","Lymphoid","Plasma cell myeloma","CVCL_2992","KMS26_768_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-27",552,"KMS27","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-27","Lymphoid","Plasma cell myeloma","CVCL_2993","KMS27_769_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-28BM",553,"KMS28BM","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-28BM","Lymphoid","Plasma cell myeloma","CVCL_2994","KMS28BM_770_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KMS-34",555,"KMS34","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","KMS-34","Lymphoid","Plasma cell myeloma","CVCL_2996","KMS34_772_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KNS-42",556,"KNS42","ccle;public","central_nervous_system","glioma","","KNS-42","CNS/Brain","Glioblastoma","CVCL_0378","KNS42_773_2019","central_nervous_system","Cancer cell line",NA
"KNS-60",557,"KNS60","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","KNS-60","CNS/Brain","Glioblastoma","CVCL_2798","KNS60_774_2019","central_nervous_system","Cancer cell line",NA
"KNS-62",558,"KNS62","ccle;public","lung","carcinoma","squamous_cell_carcinoma","KNS-62","Lung","Squamous cell lung carcinoma","CVCL_1335","KNS62_775_2019","lung","Cancer cell line",TRUE
"KNS-81",559,"KNS81","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","KNS-81","CNS/Brain","Glioblastoma","CVCL_2799","KNS81_777_2019","central_nervous_system","Cancer cell line",NA
"KO52",561,"KO52","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","KO52","Myeloid","Adult acute myeloid leukemia","CVCL_1321","K052_719_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KP-2",566,"KP2","ccle;public","pancreas","carcinoma","","KP-2","Pancreas","Pancreatic carcinoma","CVCL_3004","KP2_783_2019","pancreas","Cancer cell line",NA
"KP-3",567,"KP3","ccle;public","pancreas","carcinoma","ductal_carcinoma","KP-3","Pancreas","Pancreatic adenosquamous carcinoma","CVCL_3005","KP3_784_2019","pancreas","Cancer cell line",TRUE
"KP-4",568,"KP4","ccle;public","pancreas","carcinoma","ductal_carcinoma","KP-4","Pancreas","Pancreatic carcinoma","CVCL_1338","KP4_785_2019","pancreas","Cancer cell line",TRUE
"KP-N-SI9s",571,"KPNSI9S","ccle;public","autonomic_ganglia","neuroblastoma","","KP-N-SI9s","Peripheral Nervous System","Neuroblastoma","CVCL_1340","KPNS19s_787_2019","autonomic_ganglia","Cancer cell line",NA
"KP-N-YN",572,"KPNYN","ccle;public","autonomic_ganglia","neuroblastoma","","KP-N-YN","Peripheral Nervous System","Neuroblastoma","CVCL_1341","KPNYN_788_2019","autonomic_ganglia","Cancer cell line",TRUE
"KPL-1",569,"KPL1","ccle;public","breast","carcinoma","ductal_carcinoma","KPL-1","Breast","Invasive ductal carcinoma, not otherwise specified","CVCL_2094","KPL1_790_2019","breast","Cancer cell line",TRUE
"KRIJ",573,"KRIJ","collaborator","","","","KRIJ","Other",NA,NA,"KRIJ_792_2019",NA,NA,NA
"KU-19-19",575,"KU1919","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","KU-19-19","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1344","KU1919_794_2019","urinary_tract","Cancer cell line",NA
"Ku812",576,"KU812","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","chronic_myeloid_leukaemia","Ku812","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_0379","KU812_795_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"Kuramochi",577,"KURAMOCHI","ccle;public","ovary","carcinoma","undifferentiated_carcinoma","Kuramochi","Ovary/Fallopian Tube","High grade ovarian serous adenocarcinoma","CVCL_1345","KURAMOCHI_796_2019","ovary","Cancer cell line",TRUE
"KYM-1",578,"KYM1","ccle;public","soft_tissue","rhabdomyosarcoma","","KYM-1","Soft Tissue","Alveolar rhabdomyosarcoma","CVCL_3007","KYM1_799_2019","soft_tissue","Cancer cell line",NA
"KYO-1",579,"KYO1","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","KYO-1","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_2095","KYO1_800_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"KYSE-140",580,"KYSE140","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-140","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1347","KYSE140_801_2019","oesophagus","Cancer cell line",NA
"KYSE-150",581,"KYSE150","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-150","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1348","KYSE150_802_2019","oesophagus","Cancer cell line",NA
"KYSE-180",582,"KYSE180","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-180","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1349","KYSE180_803_2019","oesophagus","Cancer cell line",NA
"KYSE-30",584,"KYSE30","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-30","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1351","KYSE30_806_2019","oesophagus","Cancer cell line",NA
"KYSE-410",585,"KYSE410","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-410","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1352","KYSE410_807_2019","oesophagus","Cancer cell line",NA
"KYSE-450",586,"KYSE450","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-450","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1353","KYSE450_808_2019","oesophagus","Cancer cell line",NA
"KYSE-510",587,"KYSE510","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-510","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1354","KYSE510_810_2019","oesophagus","Cancer cell line",NA
"KYSE-520",588,"KYSE520","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-520","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1355","KYSE520_811_2019","oesophagus","Cancer cell line",NA
"KYSE-70",589,"KYSE70","ccle;public","oesophagus","carcinoma","squamous_cell_carcinoma","KYSE-70","Esophagus/Stomach","Esophageal squamous cell carcinoma","CVCL_1356","KYSE70_812_2019","oesophagus","Cancer cell line",NA
"L-1236",590,"L1236","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","L-1236","Lymphoid","Hodgkin lymphoma","CVCL_2096","L1236_813_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"L-363",592,"L363","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","L-363","Lymphoid","Plasma cell myeloma","CVCL_1357","L363_814_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"L-428",593,"L428","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","L-428","Lymphoid","Hodgkin lymphoma","CVCL_1361","L428_815_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"L-540",594,"L540","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","Hodgkin_lymphoma","L-540","Lymphoid","Hodgkin lymphoma","CVCL_1362","L540_816_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"L3.3",591,"L33","ccle;public","pancreas","carcinoma","","L3.3","Pancreas","Pancreatic adenosquamous carcinoma","CVCL_8147","L3.3_817_2019","pancreas","Cancer cell line",TRUE
"LAMA-84",595,"LAMA84","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","blast_phase; chronic_myeloid_leukaemia","LAMA-84","Myeloid","Chronic myelogenous leukemia, BCR-ABL1 positive","CVCL_0388","LAMA84_818_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"LC-1/sq-SF",598,"LC1SQSF","ccle;public","lung","carcinoma","squamous_cell_carcinoma","LC-1/sq-SF","Lung","Squamous cell lung carcinoma","CVCL_5480","LC1/sqSF_829_2019","lung","Cancer cell line",NA
"LC-1F",597,"LC1F","ccle;public","lung","carcinoma","squamous_cell_carcinoma","LC-1F","Lung","Squamous cell lung carcinoma","CVCL_1372","LC1F_830_2019","lung","Cancer cell line",NA
"LCLC-103H",599,"LCLC103H","ccle;public","lung","carcinoma","large_cell_carcinoma","LCLC-103H","Lung","Large cell lung carcinoma","CVCL_1375","LCLC103H_833_2019","lung","Cancer cell line",TRUE
"LCLC-97TM1",600,"LCLC97TM1","ccle;public","lung","carcinoma","large_cell_carcinoma","LCLC-97TM1","Lung","Large cell lung carcinoma","CVCL_1376","LCLC97TM1_834_2019","lung","Cancer cell line",NA
"Li-7",601,"LI7","ccle;public","liver","carcinoma","hepatocellular_carcinoma","Li-7","Liver","Hepatocellular carcinoma","CVCL_3840","Li7_835_2019","liver","Cancer cell line",NA
"LK-2",602,"LK2","ccle;public","lung","carcinoma","squamous_cell_carcinoma","LK-2","Lung","Squamous cell lung carcinoma","CVCL_1377","LK2_837_2019","lung","Cancer cell line",NA
"LMSU",603,"LMSU","ccle;public","stomach","carcinoma","adenocarcinoma","LMSU","Esophagus/Stomach","Gastric carcinoma","CVCL_4849","LMSU_838_2019","stomach","Cancer cell line",TRUE
"LN-18",604,"LN18","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","LN-18","CNS/Brain","Glioblastoma","CVCL_0392","LN18_839_2019","central_nervous_system","Cancer cell line",NA
"LN-229",606,"LN229","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","LN-229","CNS/Brain","Glioblastoma","CVCL_0393","LN229_841_2019","central_nervous_system","Cancer cell line",NA
"LNCaP clone FGC",618,"LNCAPCLONEFGC","ccle;public","prostate","carcinoma","adenocarcinoma","LNCaP clone FGC","Prostate","Prostate carcinoma","CVCL_1379","LNCaPCloneFGC_851_2019","prostate","Cancer cell line",TRUE
"LOU-NH91",621,"LOUNH91","ccle;public","lung","carcinoma","squamous_cell_carcinoma","LOU-NH91","Lung","Squamous cell lung carcinoma","CVCL_2104","LOUNH91_854_2019","lung","Cancer cell line",NA
"LoVo",622,"LOVO","ccle;public","large_intestine","carcinoma","adenocarcinoma","LoVo","Bowel","Colon adenocarcinoma","CVCL_0399","LoVo_856_2019","large_intestine","Cancer cell line",TRUE
"LOX-IMVI",623,"LOXIMVI","ccle;public","skin","malignant_melanoma","","LOX-IMVI","Skin","Amelanotic melanoma","CVCL_1381","LOXIMVI_857_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",TRUE
"LP-1",624,"LP1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","LP-1","Lymphoid","Plasma cell myeloma","CVCL_0012","LP1_858_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"LS1034",626,"LS1034","ccle;public","large_intestine","carcinoma","adenocarcinoma","LS1034","Bowel","Cecum adenocarcinoma","CVCL_1382","LS1034_860_2019","large_intestine","Cancer cell line",NA
"LS123",627,"LS123","ccle;public","large_intestine","carcinoma","adenocarcinoma","LS123","Bowel","Colon adenocarcinoma","CVCL_1383","LS123_861_2019","large_intestine","Cancer cell line",NA
"LS180",630,"LS180","ccle;public","large_intestine","carcinoma","adenocarcinoma","LS180","Bowel","Colon adenocarcinoma","CVCL_0397","LS180_859_2019","large_intestine","Cancer cell line",NA
"LS411N",631,"LS411N","ccle;public","large_intestine","carcinoma","adenocarcinoma","LS411N","Bowel","Cecum adenocarcinoma","CVCL_1385","LS411N_863_2019","large_intestine","Cancer cell line",NA
"LS513",632,"LS513","ccle;public","large_intestine","carcinoma","adenocarcinoma","LS513","Bowel","Cecum adenocarcinoma","CVCL_1386","LS513_864_2019","large_intestine","Cancer cell line",NA
"Lu-65",633,"LU65","ccle;public","lung","carcinoma","non_small_cell_carcinoma","Lu-65","Lung","Lung giant cell carcinoma","CVCL_1392","LU65_869_2019","lung","Cancer cell line",NA
"Lu-99A",634,"LU99","ccle;public","lung","carcinoma","large_cell_carcinoma","Lu-99A","Lung","Lung giant cell carcinoma","CVCL_1393","LU99A_870_2019","lung","Cancer cell line",NA
"LUDLU-1",635,"LUDLU1","ccle;public","lung","carcinoma","squamous_cell_carcinoma","LUDLU-1","Lung","Squamous cell lung carcinoma","CVCL_2582","LUDLU1_871_2019","lung","Cancer cell line",NA
"LXF 289",636,"LXF289","ccle;public","lung","carcinoma","adenocarcinoma","LXF 289","Lung","Lung adenocarcinoma","CVCL_1394","LXF289_872_2019","lung","Cancer cell line",NA
"M-07e",639,"M07E","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","M-07e","Myeloid","Childhood acute megakaryoblastic leukemia","CVCL_2106","M07e_875_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"M059K",638,"M059K","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","M059K","CNS/Brain","Glioblastoma","CVCL_0401","M059K_878_2019","central_nervous_system","Cancer cell line",NA
"Malme-3M",641,"MALME3M","ccle;public","skin","malignant_melanoma","","Malme-3M","Skin","Melanoma","CVCL_1438","Malme3M_882_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",TRUE
"MC116",643,"MC116","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","B_cell_lymphoma","MC116","Lymphoid","B-cell non-Hodgkin lymphoma","CVCL_1399","MC116_887_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"MCAS",644,"MCAS","ccle;public","ovary","carcinoma","adenocarcinoma","MCAS","Ovary/Fallopian Tube","Ovarian mucinous cystadenocarcinoma","CVCL_3020","MCAS_888_2019","ovary","Cancer cell line",NA
"MCF-7",646,"MCF7","ccle;public","breast","carcinoma","","MCF-7","Breast","Invasive ductal carcinoma, not otherwise specified","CVCL_0031","MCF7_895_2019","breast","Cancer cell line",TRUE
"MDA-MB-157",648,"MDAMB157","ccle;public","breast","carcinoma","ductal_carcinoma","MDA-MB-157","Breast","Breast carcinoma","CVCL_0618","MDAMB157_898_2019","breast","Cancer cell line",TRUE
"MDA-MB-231",650,"MDAMB231","ccle;public","breast","carcinoma","","MDA-MB-231","Breast","Breast adenocarcinoma","CVCL_0062","MDAMB231_900_2019","breast","Cancer cell line",TRUE
